num,name,district,Province Project,province,type,lat,long,gender,startDateName,startDate,status,bricks,houses,schools,co2,jobs_prod,job_constr,jobs,Last updated,description
1,Reconstruction with Save the Children,Dolakha,Province 3 - Bagmati,Bagmati Province,INGO/NGO project,27.6733067,86.1853474,Male,Jul.18,01.07.18,Project,18500,5,,56.055,,,0,13.08.20,"We worked as technical partner for Save the children to provide machines, build model houses and conduct masons training in 5 villages for construction of CSEB houses. "
2,Entrepreneurship driven reconstruction,Nuwakot,Province 3 - Bagmati,Bagmati Province,INGO/NGO project,27.9194201,85.1660825,Male,Jul.18,01.07.18,Project,200000,80,2,606,,,0,,Together with Practical Action we are starting a growing number of Earth Brick set-ups in Rasuwa & Nuwakot. The project has a unique focus to support entrepreneurs and promote more sustainable construction materials!
3,School reconstruciton in Rabi Opi,Kavrepalanchok,Province 3 - Bagmati,Bagmati Province,INGO/NGO project,27.646253,85.5689288,Male,Feb.18,01.02.18,Project,14000,2,1,42.42,,,0,,In beautiful Ravi Opi we are working as partner to Shiva Charity. We are setting up CSEB machine and training the local community in Earth Brick production and earthquake resistant construction.
4,Training and school reconstruction in Jiri,Dolakha,Province 3 - Bagmati,Bagmati Province,INGO/NGO project,27.6275504,86.2260131,Male,Apr.18,01.04.18,Project,12500,,1,37.875,,,0,,"In beautiful Jiri, Dolakha, we are serving as training partner for Face to Face Nepal. We have set up an Earth Brick press and trained the local community – now producing Earth Bricks and rebuilding the school."
5,Community reconstruction in Dandagaun,Kathmandu,Province 3 - Bagmati,Bagmati Province,INGO/NGO project,27.78566151,85.3758639,Male,Feb.18,01.02.18,Project,34000,12,,103.02,,,0,,"In Dandagaun, the community has taken the reconstruction in their own hands. We have set-up a machine and trained and now they are rebuilding their own homes and village."
6,School construction training in Ratankot,Sindhupalchok,Province 3 - Bagmati,Bagmati Province,INGO/NGO project,27.671487,85.9400358,Male,Feb.18,01.02.18,Project,22000,2,1,66.66,,,0,,"In Ratankot, Sindupalchowk the locals are now building their own school from Earth Bricks. Build up Nepal works as training and technical partner. "
7,Construction of village school in Bakrang,Gorkha,Province 4 - Gandaki,Gandaki Province,INGO/NGO project,27.930198,84.5903367,Male,Mar.18,01.03.18,Project,18000,5,1,54.54,,,0,,We worked as training partner for Village of Light in the successful reconstruction of the primary school in Bakrang. Village of Light and the local people worked well together and the school was completed in December. The locals have just begun to rebuild their own houses.
8,"Community driven reconstruction in Nalang, Dhading",Dhading,Province 3 - Bagmati,Bagmati Province,INGO/NGO project,27.86085282,84.85203213,Male,Jan.18,01.01.18,Project,11000,5,,33.33,,,0,,"Build up Nepal is working as reconstruction partner to Ecological protection forum in Nalang, Dhading. Machines have been set-up and we are currently training the local communities and building model houses."
9,"Rebuilding Health post in Putalikath, Dolhaka",Dolakha,Province 3 - Bagmati,Bagmati Province,INGO/NGO project,27.618479,86.12253418,Male,Mar.18,01.03.18,Project,4000,,,12.12,,,0,,With help from the NGO Sponsortrek the community in Putalikath is coming together to rebuild a healthpost. While building the healthpost they will be trained in Earth Brick production and earthquake resistant construction.
10,Earth Brick school in Sharamtaly,Kavrepalanchok,Province 3 - Bagmati,Bagmati Province,INGO/NGO project,27.5557237,85.5766466,Male,Feb.18,01.02.18,Project,25000,4,1,75.75,,,0,,We are working as the local partner for Open Hands to start reconstruction in several villages. Sharamthaly in Kavre is the first project where we work with community driven reconstruction. 
11,Earth Brick training in Karki Gaun,Nuwakot,Province 3 - Bagmati,Bagmati Province,INGO/NGO project,27.9999848,85.1725618,Male,Feb.16,01.02.16,Project,11000,,1,33.33,,,0,,"In Karki Gaun, Nuwakot the villagers have learned to make their own bricks. We served as the training and machine partner in this village. "
12,Arjun Khatiwada,Dhading,Province 3 - Bagmati,Bagmati Province,Entrepreneur,27.81973917,84.99162816,Male,Feb.18,01.02.18,Running,53000,21,,160.59,4,6,10,01.03.21,Arjun got introduced to CSEB when Build up Nepal together with an NGO built a Community Center i his village. He saw an opportunity and started his enterprise to make some extra money as the investment was very low and this could be done in his own land with local materials. Soon the demand went up and decided to make CSEB his primary occupation to support his family. He is planning to ask his son to join him in the business after he is back from foreign employment.
13,Bhairab Pyakurel,Nuwakot,Province 3 - Bagmati,Bagmati Province,Entrepreneur,27.9043554,85.1531216,Male,Nov.16,01.11.16,Struggling,32000,13,,96.96,0,2,2,01.03.21,
14,Bhabanath Chaulagain,Sindhupalchok,Province 3 - Bagmati,Bagmati Province,Entrepreneur,27.82562944,85.57990152,Male,Oct.17,01.10.17,Struggling,25000,10,,75.75,,2,2,28.02.21,"Bhabanath still runs a grocery shop/ Gas station in Kathmandu and decided to invest in the business together with his partner Navaraj. Navaraj is running the operations and Bhabanath is the investor with very little involvement in day-to-day operations. During the reconstruction period, the business flourished as the demand was huge in the area. As they were the first commercial entrepreneurs in the district, they faced a lot of challenges from the government but due to support from Build up Nepal and Practical action they have been able to build a good business."
