name,district,Province Project,province,type,lat,long,gender,startDate,Start Date,startYear,peakImpYear,status,bricks,houses,2016,2017,2018,2019,2020,2021,Schools,co2,jobsProduction,jobsConstruction,jobs,Last updated,Description
Reconstruction with Save the Children,Dolakha,Province 3 - Bagmati,Bagmati Province,INGO/NGO project,27.6733067,86.1853474,Male,Jul.18,01.07.18,2018,2019,Project,18500,5,,,,5,,,,56.055,,,0,8/13/2020,"We worked as technical partner for Save the children to provide machines, build model houses and conduct masons training in 5 villages for construction of CSEB houses. "
Entrepreneurship driven reconstruction,Nuwakot,Province 3 - Bagmati,Bagmati Province,INGO/NGO project,27.9194201,85.1660825,Male,Jul.18,01.07.18,2018,2019,Project,200000,80,,,,80,,,2,606,,,0,,Together with Practical Action we are starting a growing number of Earth Brick set-ups in Rasuwa & Nuwakot. The project has a unique focus to support entrepreneurs and promote more sustainable construction materials!
School reconstruciton in Rabi Opi,Kavrepalanchok,Province 3 - Bagmati,Bagmati Province,INGO/NGO project,27.646253,85.5689288,Male,Feb.18,01.02.18,2018,2019,Project,14000,2,,,,2,,,1,42.42,,,0,,In beautiful Ravi Opi we are working as partner to Shiva Charity. We are setting up CSEB machine and training the local community in Earth Brick production and earthquake resistant construction.
Training and school reconstruction in Jiri,Dolakha,Province 3 - Bagmati,Bagmati Province,INGO/NGO project,27.6275504,86.2260131,Male,Apr.18,01.04.18,2018,2019,Project,12500,5,,,,5,,,1,37.875,,,0,,"In beautiful Jiri, Dolakha, we are serving as training partner for Face to Face Nepal. We have set up an Earth Brick press and trained the local community – now producing Earth Bricks and rebuilding the school."
Community reconstruction in Dandagaun,Kathmandu,Province 3 - Bagmati,Bagmati Province,INGO/NGO project,27.78566151,85.3758639,Male,Feb.18,01.02.18,2018,2019,Project,34000,12,,,,12,,,,103.02,,,0,,"In Dandagaun, the community has taken the reconstruction in their own hands. We have set-up a machine and trained and now they are rebuilding their own homes and village."
School construction training in Ratankot,Sindhupalchok,Province 3 - Bagmati,Bagmati Province,INGO/NGO project,27.671487,85.9400358,Male,Feb.18,01.02.18,2018,2019,Project,22000,2,,,,2,,,1,66.66,,,0,,"In Ratankot, Sindupalchowk the locals are now building their own school from Earth Bricks. Build up Nepal works as training and technical partner. "
Construction of village school in Bakrang,Gorkha,Province 4 - Gandaki,Gandaki Province,INGO/NGO project,27.930198,84.5903367,Male,Mar.18,01.03.18,2018,2019,Project,18000,5,,,,5,,,1,54.54,,,0,,We worked as training partner for Village of Light in the successful reconstruction of the primary school in Bakrang. Village of Light and the local people worked well together and the school was completed in December. The locals have just begun to rebuild their own houses.
"Community driven reconstruction in Nalang, Dhading",Dhading,Province 3 - Bagmati,Bagmati Province,INGO/NGO project,27.86085282,84.85203213,Male,Jan.18,01.01.18,2018,2019,Project,11000,5,,,,5,,,,33.33,,,0,,"Build up Nepal is working as reconstruction partner to Ecological protection forum in Nalang, Dhading. Machines have been set-up and we are currently training the local communities and building model houses."
"Rebuilding Health post in Putalikath, Dolhaka",Dolakha,Province 3 - Bagmati,Bagmati Province,INGO/NGO project,27.618479,86.12253418,Male,Mar.18,01.03.18,2018,2019,Project,4000,1.6,,,,1.6,,,,12.12,,,0,,With help from the NGO Sponsortrek the community in Putalikath is coming together to rebuild a healthpost. While building the healthpost they will be trained in Earth Brick production and earthquake resistant construction.
Earth Brick school in Sharamtaly,Kavrepalanchok,Province 3 - Bagmati,Bagmati Province,INGO/NGO project,27.5557237,85.5766466,Male,Feb.18,01.02.18,2018,2019,Project,25000,4,,,,4,,,1,75.75,,,0,,We are working as the local partner for Open Hands to start reconstruction in several villages. Sharamthaly in Kavre is the first project where we work with community driven reconstruction. 
